market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
Online TA,0,0,No Deposit,0,Transient,F,0,2,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,0,No Deposit,0,Transient,G,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,1
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,1,No Deposit,0,Transient,D,1,3,0
Direct,0,3,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,1,0,0
Corporate,0,0,No Deposit,0,Transient,D,1,1,0
Direct,0,0,No Deposit,0,Transient,C,0,1,0
Online TA,0,0,No Deposit,0,Transient,G,0,3,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,B,0,0,0
Direct,0,0,No Deposit,0,Group,A,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,2,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Groups,0,0,Non Refund,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,1,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,1,0,Non Refund,50,Transient,A,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
Direct,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,1,No Deposit,0,Transient-Party,E,0,3,0
Direct,0,1,No Deposit,0,Transient,D,1,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,A,1,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,H,0,0,0
Groups,1,0,Non Refund,17,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,D,1,2,0
Corporate,0,1,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Group,E,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,H,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,1
Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,1
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,2,1
Online TA,0,0,No Deposit,0,Transient,E,0,0,1
Online TA,0,0,No Deposit,0,Transient,B,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,0,No Deposit,0,Transient,B,0,1,0
Direct,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Contract,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,2,No Deposit,0,Transient,D,0,0,1
Online TA,0,1,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,E,1,1,0
Direct,0,1,No Deposit,0,Transient,G,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Direct,0,0,No Deposit,0,Transient,F,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,F,0,0,0
Direct,0,1,No Deposit,0,Transient,C,0,2,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Direct,0,0,No Deposit,0,Transient,H,1,0,0
Online TA,0,0,No Deposit,0,Contract,A,0,2,0
Direct,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,2,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Direct,0,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Corporate,0,2,No Deposit,0,Transient,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
Groups,0,0,Non Refund,32,Transient,A,0,0,1
Groups,0,4,No Deposit,0,Transient-Party,A,1,0,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Contract,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,0,No Deposit,0,Transient,F,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,1,1,0
Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,1,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Online TA,0,1,No Deposit,0,Transient,A,0,3,0
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Direct,0,0,No Deposit,0,Transient,G,0,1,0
Groups,0,1,Non Refund,0,Transient,H,0,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Contract,F,0,2,0
Online TA,0,1,No Deposit,0,Transient,E,1,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Direct,0,1,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Groups,0,0,No Deposit,0,Transient-Party,D,1,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,E,0,2,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,0,1
Groups,1,0,Non Refund,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,D,0,1,0
Corporate,0,0,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,1,No Deposit,0,Transient,D,0,1,0
Direct,0,2,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,2,1
Online TA,0,0,No Deposit,0,Transient,A,2,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,2,0
Direct,0,1,No Deposit,0,Transient,E,0,1,1
Complementary,0,0,No Deposit,0,Transient,G,1,2,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,1,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,Non Refund,0,Transient-Party,B,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Corporate,1,0,No Deposit,0,Transient,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,1,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Offline TA/TO,0,0,No Deposit,43,Transient-Party,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Groups,0,3,No Deposit,0,Transient-Party,E,0,0,0
Groups,0,1,No Deposit,75,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,2,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,2,0
Direct,0,1,No Deposit,0,Transient,F,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,1,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,0
Direct,0,0,No Deposit,0,Transient,A,1,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,2,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,0,No Deposit,0,Transient,A,1,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Online TA,0,1,No Deposit,0,Transient,B,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,1
Online TA,0,1,No Deposit,0,Transient-Party,B,0,1,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,3,0
Offline TA/TO,0,0,Non Refund,69,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,0,1,1
Online TA,0,2,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Direct,2,0,No Deposit,0,Transient,E,0,3,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,1,0,Non Refund,44,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,G,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Corporate,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,2,0
Complementary,0,0,No Deposit,0,Transient,A,0,1,0
Direct,0,0,No Deposit,0,Transient,A,1,0,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
Direct,0,3,No Deposit,0,Transient,C,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Groups,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,3,0
Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Contract,D,0,1,0
Direct,0,1,No Deposit,0,Transient,E,0,1,1
Groups,1,0,Non Refund,22,Transient,A,0,0,1
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,44,Transient-Party,A,0,0,0
Online TA,0,2,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,D,0,1,0
Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,D,1,2,0
Online TA,0,0,No Deposit,0,Transient,F,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Online TA,0,1,No Deposit,0,Transient,B,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,3,0
Groups,0,0,No Deposit,0,Group,A,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,E,1,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,F,0,2,0
Online TA,0,2,No Deposit,0,Transient,D,1,1,0
Corporate,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,2,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,1
Online TA,0,0,No Deposit,0,Transient,G,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,1,0,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,C,1,0,0
Online TA,0,0,No Deposit,0,Transient,G,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,1
Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,0,0,1
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Online TA,0,0,No Deposit,0,Transient,F,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,1,1,0
Direct,0,0,No Deposit,0,Transient,F,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Direct,0,3,No Deposit,0,Transient-Party,B,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Groups,0,0,No Deposit,58,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,3,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,77,Transient-Party,A,0,0,0
Online TA,0,2,No Deposit,0,Transient,A,1,2,0
Online TA,0,1,No Deposit,0,Transient,G,1,1,0
Online TA,0,0,No Deposit,0,Contract,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,3,0
Groups,0,0,No Deposit,38,Transient-Party,A,0,0,1
Online TA,0,2,No Deposit,0,Transient,A,0,2,0
Groups,0,1,No Deposit,58,Transient-Party,A,0,0,0
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Corporate,1,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,E,1,1,0
Online TA,0,0,No Deposit,0,Transient,A,1,0,0
Online TA,0,1,No Deposit,0,Transient,B,0,2,0
Direct,0,1,No Deposit,0,Transient,D,0,0,0
Groups,1,0,No Deposit,0,Transient-Party,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,E,1,2,0
Offline TA/TO,0,0,No Deposit,65,Transient-Party,A,0,0,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,1,0,0
Online TA,0,1,No Deposit,0,Transient,D,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
Online TA,0,0,No Deposit,0,Transient,G,1,0,0
Offline TA/TO,0,4,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,3,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,48,Transient-Party,A,0,0,1
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Direct,0,1,No Deposit,0,Transient,A,1,3,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,1
Online TA,0,1,No Deposit,0,Transient,E,0,4,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,1
Direct,0,0,No Deposit,0,Transient,B,0,1,0
Offline TA/TO,0,0,No Deposit,0,Contract,A,0,2,0
Offline TA/TO,1,0,Non Refund,25,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,H,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
Corporate,0,1,No Deposit,0,Transient-Party,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,1,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,3,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,1,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
Direct,0,0,No Deposit,0,Transient,C,1,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,2,2,0
Direct,0,0,No Deposit,0,Transient,D,0,2,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Contract,A,0,2,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Contract,A,1,1,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,B,0,1,0
Corporate,0,0,No Deposit,0,Transient,D,0,2,1
Groups,0,0,Non Refund,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,E,1,3,0
Online TA,0,1,No Deposit,0,Transient-Party,A,0,2,0
Online TA,0,1,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,0
Offline TA/TO,0,3,No Deposit,0,Transient-Party,D,0,1,0
Direct,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,G,0,2,0
Offline TA/TO,1,0,Non Refund,19,Transient,A,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient-Party,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,0,No Deposit,0,Transient-Party,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Complementary,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,G,1,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,3,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Online TA,0,4,No Deposit,0,Transient,D,0,3,0
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Direct,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Contract,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,1,0,0
Direct,0,0,No Deposit,0,Transient,G,1,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Contract,A,0,2,0
Online TA,0,0,No Deposit,0,Transient,B,0,3,1
Online TA,0,0,No Deposit,0,Transient-Party,A,1,2,0
Direct,0,1,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,C,0,0,1
Online TA,0,0,No Deposit,0,Transient,G,0,1,0
Direct,0,1,No Deposit,0,Transient-Party,F,0,1,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,1,0
Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,G,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,1,0
Online TA,0,0,No Deposit,0,Contract,A,0,3,0
Online TA,0,2,No Deposit,0,Transient,D,0,2,0
Direct,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,A,0,0,0
Corporate,0,2,No Deposit,0,Transient-Party,A,0,0,0
Direct,0,1,No Deposit,0,Transient,E,1,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,E,0,0,0
Offline TA/TO,0,0,No Deposit,0,Group,A,0,1,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,2,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,1,No Deposit,0,Contract,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,1
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Direct,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient,A,0,1,0
Direct,0,1,No Deposit,0,Transient-Party,F,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,D,1,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,1,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,F,0,1,0
Online TA,0,1,No Deposit,0,Transient,D,0,4,0
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Direct,0,0,No Deposit,0,Transient,D,0,0,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,1
Direct,0,1,No Deposit,0,Transient-Party,A,1,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,2,No Deposit,0,Transient,A,0,1,0
Online TA,1,0,No Deposit,0,Contract,A,0,2,1
Online TA,0,2,No Deposit,0,Transient,A,0,0,1
Direct,0,0,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,0,0
Online TA,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,1,No Deposit,0,Transient,D,0,0,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,D,0,1,0
Online TA,0,1,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,1,1
Direct,0,0,No Deposit,0,Transient,A,0,0,0
Offline TA/TO,0,0,Non Refund,68,Transient,A,0,0,1
Direct,0,1,No Deposit,0,Transient,E,0,2,0
Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,1
Direct,0,0,No Deposit,0,Transient,B,0,1,1
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Groups,0,0,Non Refund,39,Transient,A,0,0,1
Direct,0,1,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Direct,1,0,No Deposit,0,Transient,A,0,1,1
Offline TA/TO,0,1,No Deposit,0,Transient,A,0,0,0
Corporate,0,3,No Deposit,0,Transient,A,1,0,0
Direct,0,2,No Deposit,0,Transient,F,1,0,0
Online TA,0,1,No Deposit,0,Transient,A,1,1,0
Online TA,0,0,No Deposit,0,Transient,D,0,2,1
Online TA,0,2,No Deposit,0,Transient,E,0,1,1
Online TA,0,0,No Deposit,0,Transient,D,0,1,0
Online TA,0,0,No Deposit,0,Transient,D,1,1,0
Corporate,0,0,No Deposit,0,Transient-Party,A,1,0,0
Corporate,0,0,No Deposit,0,Transient,E,0,1,0
Direct,0,1,No Deposit,0,Transient,E,1,0,0
Corporate,0,1,No Deposit,0,Transient,A,0,1,0
Online TA,0,0,No Deposit,0,Contract,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,E,0,3,1
Direct,0,0,No Deposit,0,Transient-Party,D,0,3,0
Corporate,0,0,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
Groups,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,0,No Deposit,0,Transient,F,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient,A,0,2,0
Online TA,0,0,No Deposit,0,Transient-Party,A,0,3,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,0
Complementary,0,0,No Deposit,0,Transient,E,1,2,0
Online TA,0,2,No Deposit,0,Transient,A,1,1,0
Groups,0,1,No Deposit,0,Transient-Party,E,0,0,0
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,0,0
Direct,0,2,No Deposit,0,Transient,A,0,0,0
Online TA,0,0,No Deposit,0,Transient,H,0,1,1
Online TA,0,0,No Deposit,0,Transient,D,1,1,0
Offline TA/TO,0,0,No Deposit,0,Transient,D,0,1,0
Direct,0,0,No Deposit,0,Transient,B,0,0,0
Direct,0,3,No Deposit,0,Transient,H,1,0,0
Online TA,0,2,No Deposit,0,Transient,A,1,2,0
Online TA,0,1,No Deposit,0,Transient,D,0,0,1
Online TA,0,0,No Deposit,0,Transient,D,0,2,1
Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
Complementary,0,1,No Deposit,0,Transient,E,0,2,0
Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,0
Groups,0,0,No Deposit,0,Transient-Party,D,0,1,0
Offline TA/TO,1,0,Non Refund,28,Transient,A,0,0,1
Online TA,0,0,No Deposit,0,Transient,F,0,0,1
Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
Corporate,0,0,No Deposit,0,Transient,E,0,3,1
Online TA,0,0,No Deposit,0,Transient,A,0,2,0
